7.730	the
7.410	and
7.010	for
6.980	you
6.820	was
6.740	are
6.690	not
6.630	but
6.520	all
6.510	his
6.470	one
6.460	can
6.380	out
6.370	has
6.340	who
6.330	had
6.300	her
6.280	get
6.260	she
6.250	new
6.240	how
6.180	now
6.140	its
6.140	our
6.110	him
6.100	see
6.100	two
6.070	any
6.010	way
5.980	may
5.960	did
5.950	day
5.950	too
5.930	off
5.930	why
5.910	got
5.890	say
5.820	man
5.810	use
5.750	old
5.740	own
5.680	end
5.670	big
5.660	put
5.610	lot
5.600	few
5.600	let
5.590	set
5.570	god
5.570	top
5.540	yet
5.530	bad
5.510	men
5.500	far
5.500	job
5.500	try
5.500	yes
5.490	run
5.460	law
5.460	war
5.450	car
5.450	per
5.420	ago
5.400	guy
5.400	pay
5.390	win
5.370	air
5.370	bit
5.370	hit
5.350	due
5.340	ask
5.340	saw
5.330	low
5.320	age
5.320	buy
5.320	red
5.300	act
5.300	fun
5.290	art
5.290	non
5.290	six
5.280	son
5.240	cut
5.220	sex
5.200	won
5.170	boy
5.160	hot
5.140	tax
5.130	eat
5.120	hey
5.120	key
5.120	mom
5.110	cup
5.110	led
5.100	dog
5.100	oil
5.090	add
5.090	met
5.070	bed
5.070	die
5.060	sea
5.060	sir
5.050	lol
5.050	ten
5.040	box
5.020	eye
5.020	via
5.010	gas
5.000	ass
5.000	ice
4.990	kid
4.970	san
4.970	sun
4.960	gun
4.960	wow
4.950	dad
4.950	fit
4.950	pre
4.940	bar
4.940	pro
4.920	fan
4.900	gay
4.900	sit
4.870	pop
4.870	ran
4.860	app
4.850	fat
4.840	lie
4.840	sad
4.830	bus
4.830	tom
4.820	mid
4.790	bag
4.790	bet
4.780	cat
4.780	joe
4.780	los
4.780	nor
4.780	van
4.760	map
4.760	net
4.750	aid
4.750	fix
4.750	fly
4.740	dry
4.740	mad
4.740	web
4.730	arm
4.730	bay
4.730	lee
4.730	tea
4.720	ill
4.720	sky
4.710	mix
4.690	ben
4.690	ray
4.670	era
4.660	fox
4.660	leg
4.660	max
4.660	sub
4.640	lay
4.640	sam
4.640	sat
4.630	bob
4.600	don
4.600	row
4.590	cry
4.550	ban
4.550	joy
4.550	tip
4.540	wet
4.530	hat
4.530	raw
4.510	aim
4.510	cap
4.510	dan
4.510	fed
4.510	fee
4.510	tie
4.500	rid
4.490	dna
4.470	gap
4.460	egg
4.460	hip
4.450	mac
4.450	pet
4.440	tag
4.430	ear
4.430	gym
4.420	kit
4.420	lab
4.420	odd
4.410	mum
